s000167963,BA 220 02,TR,0800,0915
s000168006,BA 221 02,MWF,1100,1150
s000168502,ART126 01,MW,1000,1130
s000168762,ART111 01,W,1315,1600
s000168762,ART209 01,TR,0800,0915
s000168762,ART405 01,TR,0930,1100
s000169152,ART205 02,TR,1200,1330
s000169209,ART201 01,M,1315,1550
s000169209,ART206 01,TR,0800,0920
s000169422,ART450 02,TBA,0100,0110
s000169437,ART205 03,TR,1400,1530
s000170111,ART209 01,TR,0800,0915
s000170378,ART206 01,TR,0800,0920
s000171515,ART450 02,TBA,0100,0110
s000171515,ART405 01,TR,0930,1100
s000171677,ART126 01,MW,1000,1130
s000171811,ART205 02,TR,1200,1330
s000171910,ART126 01,MW,1000,1130
s000172469,ART205 03,TR,1400,1530
s000172754,ART205 02,TR,1200,1330
s000173470,ART226 01,MW,1000,1130
s000173687,BA 100 02,MWF,1000,1050
s000173791,BA 220 01,TR,1200,1315
s000173820,BA 220 01,TR,1200,1315
s000173822,ART205 01,MW,1000,1130
s000173840,ART226 02,MW,1300,1430
s000173879,ART405 01,TR,0930,1100
s000173879,ART201 01,M,1315,1550
s000174046,ART205 01,MW,1000,1130
s000174116,ART201 01,M,1315,1550
s000174178,ART209 01,TR,0800,0915
s000174178,ART405 01,TR,0930,1100
s000174178,ART226 02,MW,1300,1430
s000174257,ART205 03,TR,1400,1530
s000175067,ART226 01,MW,1000,1130
s000175729,AT 371 01,TR,0800,0915
s000175729,AT 340 01,MWF,1000,1050
s000175729,AT 323 01,MWF,1300,1350
s000175729,AT 327 01,TBA,0100,0120
s000175817,ART405 01,TR,0930,1100
s000175817,ART309 01,TR,1300,1430
s000175960,ART405 01,TR,0930,1100
s000175960,ART201 01,M,1315,1550
s000176111,BA 220 02,TR,0800,0915
s000176111,BA 221 A213,M,1730,2230
s000176113,BA 221 02,MWF,1100,1150
s000176253,ART201 01,M,1315,1550
s000176253,ART209 01,TR,0800,0915
s000176253,ART405 01,TR,0930,1100
s000176549,BA 221 01,MWF,1000,1050
s000177130,BA 221 01,MWF,1000,1050
s000177130,BA 220 01,TR,1200,1315
s000177160,BA 221 01,MWF,1000,1050
s000177560,AT 340 01,MWF,1000,1050
s000177560,AT 323 01,MWF,1300,1350
s000177560,AT 327 01,TBA,0100,0120
s000177560,AT 371 01,TR,0800,0915
s000177934,BA 221 01,MWF,1000,1050
s000178304,BA 100 02,MWF,1000,1050
s000178503,ART226 02,MW,1300,1430
s000178597,ART205 02,TR,1200,1330
s000178597,BA 221 01,MWF,1000,1050
s000178623,ART205 01,MW,1000,1130
s000178691,AT 471 01,TR,0800,0915
s000178691,AT 415 01,MWF,0800,0850
s000179003,BA 220 01,TR,1200,1315
s000179004,ART205 01,MW,1000,1130
s000179453,ART201 01,M,1315,1550
s000179453,ART405 01,TR,0930,1100
s000180470,BA 100 02,MWF,1000,1050
s000180494,BA 221 01,MWF,1000,1050
s000180925,ART205 02,TR,1200,1330
s000181239,BA 221 02,MWF,1100,1150
s000181261,BA 220 01,TR,1200,1315
s000181428,AT 371 01,TR,0800,0915
s000181428,AT 340 01,MWF,1000,1050
s000181428,AT 323 01,MWF,1300,1350
s000181884,AT 220 01,MWF,1000,1050
s000181884,AT 222 01,MWF,1200,1250
s000181884,AT 271 01,TR,0930,1045
s000182061,BA 100 02,MWF,1000,1050
s000182128,BA 221 01,MWF,1000,1050
s000182265,ART205 01,MW,1000,1130
s000182598,ART201 01,M,1315,1550
s000182598,ART111 01,W,1315,1600
s000182598,ART226 01,MW,1000,1130
s000182624,ART226 02,MW,1300,1430
s000182714,ART201 01,M,1315,1550
s000182865,ART205 02,TR,1200,1330
s000183260,ART205 01,MW,1000,1130
s000183274,BA 220 01,TR,1200,1315
s000183845,ART209 01,TR,0800,0915
s000183845,ART201 01,M,1315,1550
s000183986,BA 100 02,MWF,1000,1050
s000184058,ART126 01,MW,1000,1130
s000184180,ART205 03,TR,1400,1530
s000184300,BA 221 02,MWF,1100,1150
s000184562,BA 221 01,MWF,1000,1050
s000184897,ART209 01,TR,0800,0915
s000184897,ART111 01,W,1315,1600
s000184897,ART405 01,TR,0930,1100
s000185231,BA 220 02,TR,0800,0915
s000185255,BA 221 01,MWF,1000,1050
s000185259,AT 371 01,TR,0800,0915
s000185259,AT 340 01,MWF,1000,1050
s000185259,AT 327 01,TBA,0100,0120
s000185259,AT 323 01,MWF,1300,1350
s000185284,BA 100 02,MWF,1000,1050
s000185317,BA 220 01,TR,1200,1315
s000185318,AT 340 01,MWF,1000,1050
s000185318,AT 371 01,TR,0800,0915
s000185318,AT 323 01,MWF,1300,1350
s000185319,ART205 01,MW,1000,1130
s000185471,BA 220 01,TR,1200,1315
s000185586,AT 222 01,MWF,1200,1250
s000185586,AT 271 01,TR,0930,1045
s000185586,AT 220 01,MWF,1000,1050
s000185589,BA 221 02,MWF,1100,1150
s000185737,BA 221 01,MWF,1000,1050
s000185769,ART205 03,TR,1400,1530
s000185884,BA 221 01,MWF,1000,1050
s000185927,ART205 01,MW,1000,1130
s000185929,ART205 02,TR,1200,1330
s000186001,ART205 01,MW,1000,1130
s000186164,BA 221 01,MWF,1000,1050
s000186373,ART205 03,TR,1400,1530
s000186374,ART205 02,TR,1200,1330
s000186424,AT 340 01,MWF,1000,1050
s000186424,AT 371 01,TR,0800,0915
s000186424,AT 323 01,MWF,1300,1350
s000186453,BA 221 02,MWF,1100,1150
s000186453,BA 100 01,MWF,0900,0950
s000186514,AT 220 01,MWF,1000,1050
s000186514,AT 222 01,MWF,1200,1250
s000186514,AT 271 01,TR,0930,1045
s000186620,ART405 01,TR,0930,1100
s000186620,ART209 01,TR,0800,0915
s000186620,ART111 01,W,1315,1600
s000186624,BA 100 02,MWF,1000,1050
s000186674,ART226 01,MW,1000,1130
s000186973,BA 100 03,MWF,1100,1150
s000187261,BA 220 02,TR,0800,0915
s000187261,BA 221 01,MWF,1000,1050
s000187262,AT 471 01,TR,0800,0915
s000187262,AT 415 01,MWF,0800,0850
s000187320,BA 221 02,MWF,1100,1150
